Descrição,Beneficiario,Data,Valor R$ 
Pagamento de Boleto,"",2022-01-03 00:00:00,"22,00"
Pagamento conta luz,"",2022-01-03 00:00:00,"27,17"
Pagamento conta luz,"",2022-01-03 00:00:00,"34,21"
Pgto conta água,"",2022-01-03 00:00:00,"34,83"
Pagamento de Boleto,"",2022-01-03 00:00:00,"35,00"
Pgto conta água,"",2022-01-03 00:00:00,"36,83"
Pgto conta água,"",2022-01-03 00:00:00,"38,70"
Pgto conta água,"",2022-01-03 00:00:00,"39,87"
Pgto conta água,"",2022-01-03 00:00:00,"41,17"
Pagamento conta luz,"",2022-01-03 00:00:00,"42,30"
Pgto conta água,"",2022-01-03 00:00:00,"42,80"
Pagamento de Boleto,"",2022-01-03 00:00:00,"45,50"
Pgto conta água,"",2022-01-03 00:00:00,"45,66"
Pagamento de Boleto,"",2022-01-03 00:00:00,"49,90"
Pagamento de Boleto,"",2022-01-03 00:00:00,"50,83"
Pgto conta água,"",2022-01-03 00:00:00,"51,15"
Pgto conta água,"",2022-01-03 00:00:00,"53,84"
Pagto conta telefone,"",2022-01-03 00:00:00,"54,99"
Pgto conta água,"",2022-01-03 00:00:00,"55,73"
Pgto conta água,"",2022-01-03 00:00:00,"57,31"
Pgto conta água,"",2022-01-03 00:00:00,"58,14"
Pgto conta água,"",2022-01-03 00:00:00,"58,53"
Pgto conta água,"",2022-01-03 00:00:00,"59,34"
Pgto conta água,"",2022-01-03 00:00:00,"59,70"
Pagamento de Boleto,"",2022-01-03 00:00:00,"63,02"
Pagamento de Boleto,"",2022-01-03 00:00:00,"64,90"
Pgto conta água,"",2022-01-03 00:00:00,"65,87"
Pagto conta telefone,"",2022-01-03 00:00:00,"65,99"
Pgto conta água,"",2022-01-03 00:00:00,"66,52"
Pagamento de Boleto,"",2022-01-03 00:00:00,"67,95"
Pagamento de Boleto,"",2022-01-03 00:00:00,"70,43"
Pagamento conta luz,"",2022-01-03 00:00:00,"70,93"
Pagto conta telefone,"",2022-01-03 00:00:00,"71,74"
Pagamento conta luz,"",2022-01-03 00:00:00,"72,84"
Pagamento conta luz,"",2022-01-03 00:00:00,"76,47"
Pagamento conta luz,"",2022-01-03 00:00:00,"78,56"
Pagamento conta luz,"",2022-01-03 00:00:00,"83,03"
Pagto conta telefone,"",2022-01-03 00:00:00,"83,53"
Pagamento conta luz,"",2022-01-03 00:00:00,"84,14"
Pagamento de Boleto,"",2022-01-03 00:00:00,"87,50"
Pgto conta água,"",2022-01-03 00:00:00,"87,76"
Pgto conta água,"",2022-01-03 00:00:00,"88,85"
Pagamento de Boleto,"",2022-01-03 00:00:00,"90,00"
Pgto conta água,"",2022-01-03 00:00:00,"90,93"
Pagamento de Boleto,"",2022-01-03 00:00:00,"95,00"
Pgto conta água,"",2022-01-03 00:00:00,"96,29"
Pagamento de Boleto,"",2022-01-03 00:00:00,"96,90"
Pagamento conta luz,"",2022-01-03 00:00:00,"99,43"
Pagamento de Boleto,"",2022-01-03 00:00:00,"99,90"
Pagamento conta luz,"",2022-01-03 00:00:00,"101,97"
Pagamento conta luz,"",2022-01-03 00:00:00,"105,17"
Pagamento de Boleto,"",2022-01-03 00:00:00,"108,41"
Pagamento conta luz,"",2022-01-03 00:00:00,"109,15"
Impostos,"",2022-01-03 00:00:00,"109,98"
Pagamento de Boleto,"",2022-01-03 00:00:00,"109,98"
Pagamento conta luz,"",2022-01-03 00:00:00,"110,40"
Pagamento conta luz,"",2022-01-03 00:00:00,"115,69"
Pagamento de Boleto,"",2022-01-03 00:00:00,"116,06"
Pagamento conta luz,"",2022-01-03 00:00:00,"119,17"
INSS Arrecadação,"",2022-01-03 00:00:00,"121,00"
Pagamento de Boleto,"",2022-01-03 00:00:00,"122,52"
Pagamento de Boleto,"",2022-01-03 00:00:00,"123,77"
Pagamento conta luz,"",2022-01-03 00:00:00,"127,58"
